image_name,label
acorn_01b.jpg,False
acorn_02n.jpg,False
acorn_03s.jpg,False
acorn_04s.jpg,False
acorn_05s.jpg,False
acorn_06s.jpg,False
acorn_07s.jpg,False
acorn_08s.jpg,False
acorn_09s.jpg,False
acorn_10s.jpg,False
acorn_11s.jpg,False
acorn_12s.jpg,False
airbag_01b.jpg,False
airbag_02s.jpg,False
airbag_03s.jpg,False
airbag_04s.jpg,False
airbag_05s.jpg,False
airbag_06s.jpg,False
airbag_07s.jpg,False
airbag_08s.jpg,False
airbag_09s.jpg,False
airbag_10s.jpg,False
airbag_11s.jpg,False
airbag_12s.jpg,False
aircraft_carrier_01b.jpg,False
aircraft_carrier_02s.jpg,False
aircraft_carrier_03s.jpg,False
aircraft_carrier_04s.jpg,False
aircraft_carrier_05s.jpg,False
aircraft_carrier_06s.jpg,False
aircraft_carrier_07s.jpg,False
aircraft_carrier_08s.jpg,False
aircraft_carrier_09s.jpg,False
aircraft_carrier_10s.jpg,False
aircraft_carrier_11s.jpg,False
aircraft_carrier_12s.jpg,False
airplane_01b.jpg,False
airplane_02n.jpg,False
airplane_03n.jpg,False
airplane_04n.jpg,False
airplane_05n.jpg,False
airplane_06n.jpg,False
airplane_07n.jpg,False
airplane_08n.jpg,False
airplane_09n.jpg,False
airplane_10n.jpg,False
airplane_11n.jpg,False
airplane_12n.jpg,False
alligator_01b.jpg,False
alligator_02s.jpg,False
alligator_03n.jpg,False
alligator_04s.jpg,False
alligator_05s.jpg,False
alligator_06s.jpg,False
alligator_07s.jpg,False
alligator_08s.jpg,False
alligator_09s.jpg,False
alligator_10s.jpg,False
alligator_11s.jpg,False
alligator_12s.jpg,False
alligator_14n.jpg,False
aloe_01b.jpg,False
aloe_02s.jpg,False
aloe_03n.jpg,False
aloe_04s.jpg,False
aloe_05s.jpg,False
aloe_06s.jpg,False
aloe_07s.jpg,False
aloe_08n.jpg,False
aloe_09s.jpg,False
aloe_10s.jpg,False
aloe_11n.jpg,False
aloe_12n.jpg,False
altar_01b.jpg,False
altar_02s.jpg,False
altar_03s.jpg,False
altar_04s.jpg,False
altar_05s.jpg,False
altar_06s.jpg,False
altar_07s.jpg,False
altar_08s.jpg,False
altar_09s.jpg,False
altar_10s.jpg,False
altar_11n.jpg,False
altar_12s.jpg,False
altar_13s.jpg,False
aluminum_foil_01b.jpg,False
aluminum_foil_02s.jpg,False
aluminum_foil_03s.jpg,False
aluminum_foil_04s.jpg,False
aluminum_foil_05s.jpg,False
aluminum_foil_06s.jpg,False
aluminum_foil_07s.jpg,False
aluminum_foil_08s.jpg,False
aluminum_foil_09s.jpg,False
aluminum_foil_10s.jpg,False
aluminum_foil_11s.jpg,False
aluminum_foil_12s.jpg,False
